2013,"FORD","F-100 RANGER",20000,23.7,1000,
2014,"FORD","F-150",25000,20.1,1001,
2017,"FORD","F-250",30000,23,1002,
2016,"FORD","F-250 SUPER DUTY",30000,22,1003,
2015,"FORD","MUSTANG GT",25000,24,1004,

2001,"TOYOTA","CAMRY",4500,27,2001,
2012,"TOYOTA","PRIUS",11000,51,2002,
2005,"TOYOTA","MATRIX",6000,28,2003,
2013,"TOYOTA","TACOMA",15000,21,2004,
2013,"TOYOTA","TUNDRA",20000 ,16,2005,

2016,"HONDA","ACCORD",17000,25,3000,
2016,"HONDA","CIVIC",20000,30,3001,
2015,"HONDA","CR-V",21000,27,3012,
2015,"HONDA","FIT",12000,30,3123,
2016,"HONDA","PILOT",25000,28,3111,

2016,"NISSAN", "GT R",80000,17,4121,
2016,"NISSAN","ALTIMA",22000,27,4010,
2016,"NISSAN","SENTRA",16500,30,4431,
2016,"NISSAN","JUKE",20250,27,4813,
2016,"NISSAN","PATHFINDER",29830,24,4521,

2016,"TESLA","MODEL S",130000,101,5000,
2016,"TESLA","MODEL X",74000,102,5050,
2016,"TESLA","MODEL 3",35000,200,5100,

